+---------------------------------------------------------+
|                                                         |
|           ////////                 ****///              |
|       ///////////////          ********////////         |
|   *//////////////////////   ***********////////////     |
|   *****//////////////////////**********////////////     |
|   *********//////////////////////******////////////     |
|   ************ /////////////////////** ////////////     |
|   ************    ////////////////     ////////////     |
|   ************        /////////        ////////////     |
|   ************            /            ////////////     |
|   ************                         ////////////     |
|   ************                         ////////////     |
|   ************                         ////////////     |
|   ************                         ////////////     |
|    ***********                         ///////////      |
|        *******                         //////           |
|             **                         //               |
|                                                         |
|         MaCh3D, Revolution in Material Testing          |
|     Made in Italy with passion for materials world      |
|                     Since Aug, 2020                     |
|                                                         |
+---------------------------------------------------------+
|             MaCh S/N:              |
|                 MaCh FW  version: 0.0.0                  |
|                 MaChWare version: 1.0.0                  |
+---------------------------------------------------------+

2023-06-05
11:25:12

+---------------------------------------------------------+
|                         ROUTINE                         |
+---------------------------------------------------------+

ID;;0
Name;;
Description;;
STR1 GF;;0.0010
STR2 GF;;0.0010
LOAD cpr th;(N);-4999
LOAD ext th;(N);4999
EXTS cpr th;(mm);0.00
EXTS ext th;(mm);0.00
STR1 cpr th;(mm/mm);0.00
STR1 ext th;(mm/mm);0.00
STR2 cpr th;(mm/mm);0.00
STR2 ext th;(mm/mm);0.00
TMP1 low th;(deg_C);0.0
TMP1 high th;(deg_C);0.0
TMP2 low th;(deg_C);0.0
TMP2 high th;(deg_C);0.0

+---------------------------------------------------------+
WIDTH;THICKNESS;INTERAXIS;EXTS_LENGTH;CS_LENGTH
[12.91, 12.9, 12.94];[2.84, 2.88, 2.87];122.3;57.0;50.0

TIME;DISP;LOAD;EXTS;ENC1;ENC2;STR1;STR2;TMP1;TMP2
-;-;ON;ON;ON;OFF;OFF;OFF;ON;OFF
(ms);(mm);(N);(mm);(mm);(mm);(mm/mm);(mm/mm);(deg_C);(deg_C)

200.0;0.0;0.717067908864;0.00414592;0.0;7.273543859649123e-05;0.01938821939922941;0.00482459831982851
400.0;0.017010535558500017;8.923511754751999;0.00616832;0.00029843044839473717;0.00010821614035087718;0.24127561919041046;0.00640677846968174
600.0;0.03347234416349998;12.429177086975999;0.00753344;0.0005872341081315786;0.0001321656140350877;0.33606246958664315;0.007919896394014359
800.0;0.050482879721999996;14.421032389375998;0.009707519999999999;0.0008856645565263157;0.0001703073684210526;0.3899186345845026;0.009054922498762608
1000.0;0.06694468832700001;17.368978236927997;0.01117376;0.0011744682162631581;0.00019603087719298245;0.4696257587813346;0.009928837418556213
1200.0;0.0839552238855;22.388453598976;0.0123872;0.0014728986646578947;0.00021731929824561402;0.6053432945759406;0.010662456974387169
1400.0;0.10041703249049999;24.858354173951998;0.013550079999999999;0.0017617023243947367;0.00023772070175438596;0.6721249391732863;0.011331110261380672
1600.0;0.11687884109550001;27.328254748927996;0.01597696;0.002050505984131579;0.0002802975438596491;0.738906583770632;0.01200232096016407
1800.0;0.133889376654;29.718481111807996;0.01713984;0.002348936432526316;0.00030069894736842103;0.8035339817680635;0.012751379050314426
2000.0;0.150351185259;34.578608049664;0.018302719999999998;0.0026377400922631576;0.00032110035087719297;0.9349430243628406;0.013640573248267174
2200.0;0.1673617208175;37.04850862464;0.019415039999999998;0.002936170540657895;0.0003406147368421052;1.0017246689601864;0.014699725434184074
2400.0;0.1838235294225;39.43873498752;0.0204768;0.0032249742003947366;0.0003592421052631579;1.0663520669576179;0.015919698402285576
2600.0;0.200834064981;42.067983986688;0.022751999999999998;0.003523404648789474;0.00039915789473684204;1.1374422047547923;0.01726670004427433
2800.0;0.217295873586;44.617558773759995;0.023864319999999998;0.0038122083085263157;0.00041867228070175435;1.2063780959520523;0.018701763823628426
