+---------------------------------------------------------+
|                                                         |
|           ////////                 ****///              |
|       ///////////////          ********////////         |
|   *//////////////////////   ***********////////////     |
|   *****//////////////////////**********////////////     |
|   *********//////////////////////******////////////     |
|   ************ /////////////////////** ////////////     |
|   ************    ////////////////     ////////////     |
|   ************        /////////        ////////////     |
|   ************            /            ////////////     |
|   ************                         ////////////     |
|   ************                         ////////////     |
|   ************                         ////////////     |
|   ************                         ////////////     |
|    ***********                         ///////////      |
|        *******                         //////           |
|             **                         //               |
|                                                         |
|         MaCh3D, Revolution in Material Testing          |
|     Made in Italy with passion for materials world      |
|                     Since Aug, 2020                     |
|                                                         |
+---------------------------------------------------------+
|             MaCh S/N:              |
|                 MaCh FW  version: 0.0.0                  |
|                 MaChWare version: 1.0.0                  |
+---------------------------------------------------------+

2023-06-05
11:25:12

+---------------------------------------------------------+
|                         ROUTINE                         |
+---------------------------------------------------------+

ID;;0
Name;;
Description;;
STR1 GF;;0.0010
STR2 GF;;0.0010
LOAD cpr th;(N);-4999
LOAD ext th;(N);4999
EXTS cpr th;(mm);0.00
EXTS ext th;(mm);0.00
STR1 cpr th;(mm/mm);0.00
STR1 ext th;(mm/mm);0.00
STR2 cpr th;(mm/mm);0.00
STR2 ext th;(mm/mm);0.00
TMP1 low th;(deg_C);0.0
TMP1 high th;(deg_C);0.0
TMP2 low th;(deg_C);0.0
TMP2 high th;(deg_C);0.0

+---------------------------------------------------------+
|                          DATA                           |
+---------------------------------------------------------+

TIME;DISP;LOAD;EXTS;ENC1;ENC2;STR1;STR2;TMP1;TMP2
-;-;ON;ON;ON;OFF;OFF;OFF;ON;OFF
(ms);(mm);(N);(mm);(mm);(mm);(mm/mm);(mm/mm);(deg_C);(deg_C)

0;7.430;2.94;0.00714;-0.001;0;0;0;nan;0
200;7.443;4.23;0.00692;0.004;0;0;0;nan;0
400;7.459;4.16;0.00631;0.019;0;0;0;nan;0
600;7.476;5.95;0.00729;0.034;0;0;0;nan;0
800;7.493;5.17;0.00857;0.050;0;0;0;nan;0
1000;7.510;6.24;0.00692;0.065;0;0;0;nan;0
1200;7.526;4.38;0.00677;0.080;0;0;0;nan;0
1400;7.543;6.31;0.00699;0.095;0;0;0;nan;0
1600;7.560;6.45;0.00669;0.112;0;0;0;nan;0
1800;7.577;6.10;0.00684;0.129;0;0;0;nan;0
2000;7.593;5.09;0.01022;0.146;0;0;0;nan;0
2200;7.610;6.10;0.00804;0.163;0;0;0;nan;0
2400;7.627;4.81;0.00864;0.179;0;0;0;nan;0
2600;7.643;5.66;0.00504;0.196;0;0;0;nan;0
2800;7.660;4.74;0.00827;0.212;0;0;0;nan;0
3000;7.677;6.38;0.00910;0.228;0;0;0;nan;0
3200;7.694;3.87;0.00917;0.244;0;0;0;nan;0
3400;7.711;5.88;0.00782;0.261;0;0;0;nan;0
3600;7.727;5.17;0.00519;0.278;0;0;0;nan;0
3800;7.744;4.87;0.00737;0.294;0;0;0;nan;0
4000;7.761;6.10;0.00819;0.311;0;0;0;nan;0
4200;7.777;7.96;0.00962;0.327;0;0;0;nan;0
4400;7.794;6.45;0.00917;0.344;0;0;0;nan;0
